epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.764,1.42872,1.55699,1.41341,0.76253,0.8377,0.80238,0.38609,1.59973,1.46086,1.45126,0.000665134,0.000665134,0.000665134
2,2109.21,1.45681,1.27022,1.42103,0.79896,0.83229,0.86319,0.4276,1.59435,1.147,1.43712,0.00127906,0.00127906,0.00127906
3,2732.8,1.44495,1.22283,1.41446,0.71127,0.65969,0.69692,0.26797,2.02977,1.45235,1.92803,0.00184019,0.00184019,0.00184019
4,3405.81,1.40185,1.16313,1.38838,0.92583,0.89005,0.93467,0.50762,1.4533,0.93835,1.37869,0.0017624,0.0017624,0.0017624
5,4104.88,1.36863,1.10638,1.36301,0.8576,0.83246,0.88708,0.47869,1.51299,0.9515,1.40023,0.0016832,0.0016832,0.0016832
6,4738.01,1.32195,1.0811,1.3374,0.92108,0.90227,0.9524,0.56559,1.32684,0.83949,1.28085,0.001604,0.001604,0.001604
